# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL
tetrahydrofolate biosynthesis I|PWY-6614|Folate Biosynthesis|Folate-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6614
molybdopterin biosynthesis|PWY-6823|||1.0|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6823
5-aminoimidazole ribonucleotide biosynthesis I|PWY-6121|5-Aminoimidazole Ribonucleotide Biosynthesis|AIR-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6121
chorismate biosynthesis from 3-dehydroquinate|PWY-6163|Chorismate Biosynthesis|Chorismate-Biosynthesis|1.0|2.4|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6163
GDP-mannose biosynthesis|PWY-5659|||1.0|2.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5659
gondoate biosynthesis (anaerobic)|PWY-7663|||1.0|3.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7663
myo-inositol degradation I|P562-PWY|||1.0|2.857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P562-PWY
L-histidine biosynthesis|HISTSYN-PWY|L-histidine Biosynthesis|HISTIDINE-SYN|1.0|1.8|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=HISTSYN-PWY
UTP and CTP de novo biosynthesis|PWY-7176|||1.0|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7176
heme b biosynthesis I (aerobic)|HEME-BIOSYNTHESIS-II|Heme b Biosynthesis|Heme-b-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=HEME-BIOSYNTHESIS-II
phosphopantothenate biosynthesis I|PANTO-PWY|Phosphopantothenate Biosynthesis|Pantothenate-Biosynthesis|1.0|2.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PANTO-PWY
L-leucine biosynthesis|LEUSYN-PWY|L-leucine Biosynthesis|LEUCINE-SYN|1.0|0.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=LEUSYN-PWY
tRNA processing|PWY0-1479|||1.0|3.2|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1479
L-tryptophan biosynthesis|TRPSYN-PWY|L-tryptophan Biosynthesis|TRYPTOPHAN-BIOSYNTHESIS|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=TRPSYN-PWY
L-tyrosine biosynthesis I|TYRSYN|L-tyrosine Biosynthesis|TYROSINE-SYN|1.0|3.3333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=TYRSYN
aerobic respiration I (cytochrome c)|PWY-3781|||1.0|5.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3781
L-phenylalanine biosynthesis I|PHESYN|L-phenylalanine Biosynthesis|PHENYLALANINE-SYN|1.0|4.6666665|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PHESYN
L-serine biosynthesis I|SERSYN-PWY|||1.0|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SERSYN-PWY
tetrapyrrole biosynthesis I (from glutamate)|PWY-5188|Tetrapyrrole Biosynthesis|Tetrapyrrole-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5188
CMP-3-deoxy-D-manno-octulosonate biosynthesis|PWY-1269|CMP-3-deoxy-D-manno-octulosonate Biosynthesis|CMP-KDO-Biosynthesis|1.0|1.6|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1269
ppGpp metabolism|PPGPPMET-PWY|||1.0|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PPGPPMET-PWY
L-arginine biosynthesis II (acetyl cycle)|ARGSYNBSUB-PWY|L-arginine Biosynthesis|ARGININE-SYN|1.0|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGSYNBSUB-PWY
lipid IVA biosynthesis (E. coli)|NAGLIPASYN-PWY|Lipid IVA Biosynthesis|Lipid-IV-A-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=NAGLIPASYN-PWY
lipid IVA biosynthesis (H. pylori)|PWYI-14|Lipid IVA Biosynthesis|Lipid-IV-A-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWYI-14
lipid IVA biosynthesis (P. putida)|PWY-8073|Lipid IVA Biosynthesis|Lipid-IV-A-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8073
lipid IVA biosynthesis (Vibrio cholerae serogroup O1 El Tor)|PWY2G6Z-2|Lipid IVA Biosynthesis|Lipid-IV-A-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY2G6Z-2
lipid IVA biosynthesis (P. gingivalis)|PWY-8245|Lipid IVA Biosynthesis|Lipid-IV-A-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8245
lipid IVA biosynthesis (generic)|PWY-8283|Lipid IVA Biosynthesis|Lipid-IV-A-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8283
coenzyme A biosynthesis I (bacteria)|COA-PWY|Coenzyme A Biosynthesis|CoA-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=COA-PWY
guanosine ribonucleotides de novo biosynthesis|PWY-7221|||1.0|2.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7221
glutaryl-CoA degradation|PWY-5177|||1.0|2.4|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5177
L-valine biosynthesis|VALSYN-PWY|L-valine Biosynthesis|VALINE-BIOSYNTHESIS|1.0|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=VALSYN-PWY
UMP biosynthesis I|PWY-5686|UMP Biosynthesis|UMP-Biosynthesis|1.0|3.3333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5686
sn-glycerol 3-phosphate anaerobic respiration|PWY0-1584|Nitrate Reduction|Nitrate-Reduction|1.0|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1584
2-oxoglutarate decarboxylation to succinyl-CoA|PWY-5084|||1.0|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5084
inosine-5'-phosphate biosynthesis I|PWY-6123|Inosine-5'-phosphate Biosynthesis|IMP-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6123
(5Z)-dodecenoate biosynthesis I|PWY0-862|(5Z)-dodecenoate Biosynthesis|5Z-Dodec-5-enoate-Biosynthesis|1.0|3.3333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-862
preQ0 biosynthesis|PWY-6703|||1.0|2.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6703
2-oxoisovalerate decarboxylation to isobutanoyl-CoA|PWY-5046|||1.0|3.3333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5046
L-homoserine biosynthesis|HOMOSERSYN-PWY|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=HOMOSERSYN-PWY
oleate biosynthesis IV (anaerobic)|PWY-7664|Oleate Biosynthesis|Oleate-Biosynthesis|1.0|3.4285715|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7664
queuosine biosynthesis I (de novo)|PWY-6700|Queuosine Biosynthesis and Salvage|Queuosine-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6700
adenosylcobinamide-GDP salvage from cobinamide I|PWY-7971|Adenosylcobalamin Salvage from Cobinamide|B12-Salvage-From-Cobinamide|1.0|0.8|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7971
inosine 5'-phosphate degradation|PWY-5695|||1.0|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5695
arsenate detoxification II|PWY-8101|Arsenate Detoxification|Arsenate-Detoxification|1.0|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8101
adenosylcobalamin salvage from cobalamin|PWY-6268|||1.0|0.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6268
adenosine nucleotides degradation II|SALVADEHYPOX-PWY|Adenosine Nucleotide Degradation|Adenosine-Nucleotides-Degradation|1.0|3.2|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVADEHYPOX-PWY
palmitate biosynthesis II (type II fatty acid synthase)|PWY-5971|Palmitate Biosynthesis|Palmitate-Biosynthesis|1.0|3.3548386|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5971
cyanophycin metabolism|PWY-7052|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7052
pyruvate decarboxylation to acetyl CoA I|PYRUVDEHYD-PWY|||1.0|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRUVDEHYD-PWY
siroheme biosynthesis|PWY-5194|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5194
putrescine biosynthesis II|PWY-43|Putrescine Biosynthesis|Putrescine-Biosynthesis|1.0|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-43
2-methylcitrate cycle I|PWY0-42|2-Methylcitrate Cycle|Methyl-Citrate-Cycle|1.0|2.4|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-42
protocatechuate degradation II (ortho-cleavage pathway)|PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY|Protocatechuate Degradation|Protocatechuate-Degradation|1.0|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
purine deoxyribonucleosides degradation I|PWY-7179|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7179
ethanol degradation II|PWY66-21|Ethanol Degradation|Ethanol-Degradation|1.0|8.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY66-21
oleate beta-oxidation|PWY0-1337|||1.0|3.0857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1337
phosphatidylcholine biosynthesis V|PWY-6825|Phosphatidylcholine Biosynthesis|PhosphatidylcholineBiosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6825
pyrimidine deoxyribonucleotide phosphorylation|PWY-7197|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7197
purine ribonucleosides degradation|PWY0-1296|||1.0|2.3333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1296
tRNA charging|TRNA-CHARGING-PWY|||1.0|2.0952382|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=TRNA-CHARGING-PWY
pyrimidine deoxyribonucleosides degradation|PWY-7181|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7181
pyridoxal 5'-phosphate biosynthesis I|PYRIDOXSYN-PWY|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|1.0|2.2857144|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDOXSYN-PWY
D-galactonate degradation|GALACTCAT-PWY|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GALACTCAT-PWY
L-asparagine biosynthesis III (tRNA-dependent)|PWY490-4|L-asparagine Biosynthesis|ASPARAGINE-SYN|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY490-4
L-isoleucine biosynthesis I (from threonine)|ILEUSYN-PWY|L-isoleucine Biosynthesis|ISOLEUCINE-SYN|1.0|1.7142857|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUSYN-PWY
S-adenosyl-L-methionine salvage I|PWY-6151|S-adenosyl-L-methionine Biosynthesis|S-adenosyl-L-methionine-Biosynthesis|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6151
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|PWY-6282|Palmitoleate Biosynthesis|Palmitoleate-Biosynthesis|1.0|3.1111112|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6282
glyoxylate cycle|GLYOXYLATE-BYPASS|||1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYOXYLATE-BYPASS
L-methionine biosynthesis II|PWY-702|L-methionine De Novo Biosynthesis|Methionine-De-novo-Biosynthesis|1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-702
UDP-N-acetyl-D-glucosamine biosynthesis I|UDPNAGSYN-PWY|UDP-N-acetyl-D-glucosamine Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|1.0|6.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=UDPNAGSYN-PWY
glycine cleavage|GLYCLEAV-PWY|Glycine Degradation|GLYCINE-DEG|1.0|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYCLEAV-PWY
ectoine biosynthesis|P101-PWY|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=P101-PWY
L-arginine degradation II (AST pathway)|AST-PWY|L-arginine Degradation|ARGININE-DEG|1.0|2.4|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=AST-PWY
L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)|ARGDEG-III-PWY|L-arginine Degradation|ARGININE-DEG|1.0|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGDEG-III-PWY
urate conversion to allantoin I|PWY-5691|Urate Degradation|Urate-Degradation|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5691
pyruvate fermentation to acetate II|PWY-5482|Pyruvate Fermentation to Acetate|Pyruvate-Acetate-Fermentation|1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5482
pentose phosphate pathway (non-oxidative branch) I|NONOXIPENT-PWY|||1.0|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=NONOXIPENT-PWY
8-amino-7-oxononanoate biosynthesis I|PWY-6519|8-Amino-7-oxononanoate Biosynthesis|7-Keto-8-aminopelargonate-Biosynthesis|1.0|3.090909|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6519
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|PWY-6387|UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis|Acetylmuramoyl-Pentapeptide-Biosynthesis|1.0|2.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6387
adenine and adenosine salvage III|PWY-6609|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|1.0|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6609
biotin biosynthesis from 8-amino-7-oxononanoate I|PWY0-1507|Biotin Biosynthesis|BIOTIN-SYN|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1507
benzoyl-CoA biosynthesis|PWY-6458|||1.0|4.6666665|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6458
D-galactarate degradation II|PWY-6497|D-Galactarate Degradation|D-Galactarate-Degradation|1.0|3.3333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6497
D-glucarate degradation II|PWY-6499|D-Glucarate Degradation|D-Glucarate-Degradation|1.0|3.3333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6499
formaldehyde oxidation II (glutathione-dependent)|PWY-1801|Formaldehyde Oxidation|Formaldehyde-Oxidation|1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1801
L-leucine degradation I|LEU-DEG2-PWY|L-leucine Degradation|LEUCINE-DEG|1.0|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=LEU-DEG2-PWY
cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)|PWY-7376|cob(II)yrinate a,c-diamide biosynthesis|Cobyrinate-diamide-Biosynthesis|1.0|1.0769231|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7376
