#
#  halomonas_cubes_take2cyc 1.0 Reactions link table generated on Wed Sep 13, 2023
#
RXN-14047	EC-4.2.1.3
RXN-11833	EC-5.4.99.19
RXN0-5390	EC-3.1.2
RXN-12560	EC-1.1.1.36
RXN-9548	EC-3.1.2.14
RXN-9952	EC-1.1.1.44
RXN-13439	EC-6.3.2.29
XYLISOM-RXN	EC-5.3.1.5
RXN-8770	EC-3.1.3.73
1.3.1.54-RXN	EC-1.3.1.54
3.1.11.1-RXN	EC-3.1.11.1
6.3.2.29-RXN	EC-6.3.2.29
R341-RXN	EC-6.3.5.9
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
RXN-10737	EC-1.20.4.4
3.4.24.55-RXN	EC-3.4.24.55
6.3.2.30-RXN	EC-6.3.2.30
GALACTONOLACTONASE-RXN	EC-3.1.1.25
DEOXYGLUCONOKIN-RXN	EC-2.7.1.178	EC-2.7.1.45
SAICARSYN-RXN	EC-6.3.2.6
RXN-13440	EC-6.3.2.30
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
RXN-14517	EC-2.1.1.228
2.3.1.180-RXN	EC-2.3.1.180
3.4.15.6-RXN	EC-3.4.15.6
DIHYDRODIPICSYN-RXN	EC-4.3.3.7
RXN0-4022	EC-1.7.1.13
RXN-12458	EC-2.1.1.228
MBCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
RXN-19326	EC-3.1.3.73
HOMOSERDEHYDROG-RXN	EC-1.1.1.3
PEPCARBOXYKIN-RXN	EC-4.1.1.49
ISOVALERYLCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
ABC-24-RXN	EC-7.6.2.11
DEOXYGUANOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.113	EC-2.7.1.145
1.8.4.12-RXN	EC-1.8.4.12
DEOXYADENOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.76	EC-2.7.1.145
THRESYN-RXN	EC-4.2.3.1
DEOXYADENYLATE-KINASE-RXN	EC-2.7.4.13	EC-2.7.4.11
PROTOPORGENOXI-RXN	EC-1.3.3.4
2.3.1.168-RXN	EC-2.3.1.168
RXN-22620	EC-1.11.1.24
RXN-14932	EC-1.1.99.39
RXN-22619	
GLUTCYSLIG-RXN	EC-6.3.2.2
RXN-22617	EC-1.11.1.24
RXN0-267	EC-1.11.1.24
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
RXN-22618	
RXN-20406	EC-6.3.2.2
RXN-22616	
RXN0-6515	EC-2.1.1.171
RXN0-1132	EC-1.8.1.4
RXN0-5468	
1.11.1.15-RXN	EC-1.11.1.24
RXN-20400	EC-6.3.2.2
KETOISOCAPROATE-RXN	EC-1.2.4.4
RXN-20687	EC-1.11.1.25
RXN-20688	
1.2.4.4-RXN	EC-1.2.4.4
RXN-7716	EC-1.8.1.4
ACETYLGLUTKIN-RXN	EC-2.7.2.8
RXN-2881	
L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27
RXN-8629	EC-1.8.1.4
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2
METHYLVALERATE-RXN	EC-1.2.4.4
RXN0-5101	EC-1.3.1
RXN-20692	
R4-RXN	EC-1.11.1.26
THYMIDYLATESYN-RXN	EC-2.1.1.45
RXN-16997	
RXN-20691	
RXN-16998	
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	EC-5.1.3.7
RXN-20693	EC-1.11.1.27
RXN-18357	EC-1.5.1.3
RXN-20694	
RXN-20697	
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
RXN-20695	
RXN-20696	
RXN-22709	EC-1.5.1.3
RXN66-1	EC-1.11.1.6
RXN-7719	EC-1.8.1.4
PHOSMANMUT-RXN	EC-5.4.2.8
RXN-14189	EC-1.11.1.6
RXN-19329	EC-1.5.1.3
DUTP-PYROP-RXN	EC-3.6.1.23	EC-3.6.1.9
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
RXN-19319	EC-3.1.3.73
CARNITINE-3-DEHYDROGENASE-RXN	EC-1.1.1.108
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
P-PANTOCYSLIG-RXN	EC-6.3.2.5
RXN-22742	EC-1.5.3.24
RXN-22914	
SS-BUTANEDIOL-DEHYDROGENASE-RXN	EC-1.1.1.76
RXN-22915	
3.1.2.21-RXN	EC-3.1.2.21
RXN-19953	
RXN-20690	EC-1.11.1.28
RXN2DNV-1	EC-3.6.1.54
RXN-7572	EC-1.1.1.27
RXN-21266	EC-3.2.2.23
RXN-9549	EC-3.1.2.14
RXN-19954	
CATECHOL-12-DIOXYGENASE-RXN	EC-1.13.11.1
3.2.2.23-RXN	EC-3.2.2.23
GALACTOKIN-RXN	EC-2.7.1.6
RXN-20786	EC-3.6.1.54
MANNONOXIDOREDUCT-RXN	EC-1.1.1.57
3.4.21.83-RXN	EC-3.4.21.83
GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12
RXN-20689	
3.1.4.14-RXN	EC-3.1.4.14
RXN-18435	EC-3.2.2.23
RXN-23220	EC-3.6.1.54
MANNONDEHYDRAT-RXN	EC-4.2.1.8
RXN-22239	EC-3.6.1.54
3.1.26.3-RXN	EC-3.1.26.3
1.11.1.12-RXN	EC-1.11.1.12
RXN-12540	
TRANS-RXN2R0Y-18	
RXN0-4522	EC-7.4.2.11
1.1.1.127-RXN	EC-1.1.1.127
RXN-22483	EC-3.6.1.54
DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
RXN-11602	EC-2.1.1.191
RXN-20927	EC-2.7.7.7
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54
RXN2B4Q-40	
RXN6666-4	EC-1.4.3.4
KDUD-RXN	EC-1.1.1.125
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
RXN2B4Q-51	EC-3.6.1.54
ALANINE-DEHYDROGENASE-RXN	EC-1.4.1.1
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
SUCCDIAMINOPIMDESUCC-RXN	EC-3.5.1.18
GLYOXYLATE-REDUCTASE-NADP+-RXN	EC-1.1.1.79
TETHYDPICSUCC-RXN	EC-2.3.1.117
GLYCOLATE-REDUCTASE-RXN	EC-1.1.1.26
3.4.21.53-RXN	EC-3.4.21.53
RXN-23229	EC-1.1.1.81
L-ASPARTATE-OXID-RXN	EC-1.4.3.16
3.4.21.92-RXN	EC-3.4.21.92
HYDROXYPYRUVATE-REDUCTASE-RXN	EC-1.1.1.81
SUCCINYLDIAMINOPIMTRANS-RXN	EC-2.6.1.17
OROTPDECARB-RXN	EC-4.1.1.23
RXN-18396	EC-3.5.1.125
RXN-18427	EC-1.2.1
1.1.1.215-RXN	EC-1.1.1.215
QUINOLINATE-SYNTHA-RXN	EC-2.5.1.72
URITRANS-RXN	EC-2.7.7.59
2-METHYLCITRATE-DEHYDRATASE-RXN	EC-4.2.1.79
DEHYDOGLUCONOKINASE-RXN	EC-2.7.1.13
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
RXN-20793	EC-2.3.1
RXN-11836	EC-5.4.99.22
RXN-20794	
THREONINE--TRNA-LIGASE-RXN	EC-6.1.1.3
RXN-8979	EC-4.2.1.117
RXN-20795	EC-1.14.11
RXN-11576	EC-2.1.1.172
RXN-20796	
FGAMSYN-RXN	EC-6.3.5.3
2-METHYLCITRATE-SYNTHASE-RXN	EC-2.3.3.5
RXN-10817	EC-1.4.3.21	EC-1.4.3.4
RXN-17873	EC-3.4.11.18
3.1.4.17-RXN	EC-3.1.4.17
METHYLISOCITRATE-LYASE-RXN	EC-4.1.3.30
RXN-16664	EC-3.4.17.13
RXN-16685	
RXN2R0Y-14	
RXN-16688	
1.8.4.8-RXN	EC-1.8.4.8
RXN-16689	
RXN-13997	EC-3.5.4.33
RXN-16690	
RXN-5821	EC-1.4.3.4
RXN-16687	
RXN-17874	EC-3.4.11.18
RXN-16691	
CYTOCHROME-C-OXIDASE-RXN	EC-7.1.1.9
RXN-15815	
RXN-21237	EC-7.1.1.9
RXN-17875	EC-3.4.11.18
RXN-12473	EC-2.8.1.11
RXN1YI0-19	
RXN0-5265	
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
RXN-11355	EC-1.3.5.5
RXN-17876	EC-3.4.11.18
PSERPHOSPHA-RXN	EC-3.1.3.3
RXN-12243	
RXN0-2161	EC-6.1.1.11
MALIC-NADP-RXN	EC-1.1.1.40
RXN0-5114	EC-3.1.3.3
MALATE-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.82
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
RXN-11707	EC-1.2.1.80
IGPSYN-RXN	EC-4.1.1.48
RXN-12244	
2-ISOPROPYLMALATESYN-RXN	EC-2.3.3.13
RXN-17877	EC-3.4.11.18
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
OCTADECANAL-DECARBONYLASE-RXN	EC-4.1.99.5
RXN-11136	EC-3.4.25.2
LYSINE-23-AMINOMUTASE-RXN	EC-5.4.3.2
RXN1YI0-22	EC-7.1.1.9
PRTRANS-RXN	EC-2.4.2.18
RXN-12647	
RXN-17878	EC-3.4.11.18
PHOSPHASERDECARB-RXN	EC-4.1.1.65
TRANS-RXN-395	
RXN1YI0-21	
RXN-15862	
4.2.1.43-RXN	EC-4.2.1.43
RXN-15863	
ANTHRANSYN-RXN	EC-4.1.3.27
AMONITRO-RXN	EC-1.14.99.39
RXN-22711	
3.4.11.18-RXN	EC-3.4.11.18
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
RXN-9242	EC-2.1.1.201
RXN-22729	
RXN0-6359	EC-2.8.1.1
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
RXN-11754	EC-2.1.1.201
RXN3O-54	EC-2.1.1.201
RXN-19040	EC-2.8.1.1
RXN-8999	EC-2.5.1.31
RXN-15365	EC-1.8.1
RXN-12104	EC-1.17.99.6
UREASE-RXN	EC-3.5.1.5
PABASYN-RXN	EC-2.6.1.85
RXN-9227	EC-2.1.1.201
RXN-22713	
RXN0-5515	EC-2.7.7.41
RXN-21561	
RXN-9235	EC-2.1.1.201
GPH-RXN	EC-3.1.3.18
CDPDIGLYSYN-RXN	EC-2.7.7.41
H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-2.7.6.3
RXN-20524	EC-2.7.7.41
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	EC-2.1.1.201
RXN-15733	EC-2.7.6.3
PHOSPHOLIPASE-C-RXN	EC-3.1.4.3
NADH-DEHYDROG-A-RXN	EC-7.1.1.2
DXPREDISOM-RXN	EC-1.1.1.267
RXN-21415	EC-7.1.1.2
RXN-13519	
RXN-13142	EC-5.1.99.6
RXN0-5248	
RXN-20787	EC-2.3.1.191
RXN-22482	EC-2.3.1.191
HISTPRATPHYD-RXN	EC-3.6.1.31
RXN-8752	EC-1.17.1.4
RXN-12752	EC-5.1.99.6
RXN-23221	EC-2.3.1.191
RXN-22241	EC-2.3.1.191
RXN-7682	EC-1.17.1.4
RXN-22715	EC-5.1.3.1
RXN-22623	EC-1.1.1.95
RXN0-6727	EC-4.2.1.136
RXN-8753	EC-1.17.1.4
PGLYCDEHYDROG-RXN	EC-1.1.1.95
PORPHOBILSYNTH-RXN	EC-4.2.1.24
RIBULP3EPIM-RXN	EC-5.1.3.1
RXN-22438	EC-1.5.1.54
POLYPHOSPHATE-KINASE-RXN	EC-2.7.4.1
FORMATETHFLIG-RXN	EC-6.3.4.3
RXN-18474	EC-1.1.1.407
RXN-8751	EC-1.17.1.4
RXN-18478	EC-2.7.1.101
ABC-25-RXN	EC-7.6.2.11	EC-7.6.2.16
RXN-18477	EC-5.1.3.40
RXN0-7298	EC-2.7.1.32
RXN-13141	EC-4.2.1.136
GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
ABC-7-RXN	EC-7.3.2.3
RXN0-901	EC-1.17.1.4
RXNI-27	EC-2.3.1.191
RXN2B4Q-50	EC-2.3.1.191
3.1.11.6-RXN	EC-3.1.11.6
HOMOCYSMET-RXN	EC-2.1.1.14
ABC-70-RXN	EC-7.3.2.3
RXN-16804	
MYRISTOYLACYLTRAN-RXN	EC-2.3.1.243
GUANINE-DEAMINASE-RXN	EC-3.5.4.3
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
THIOPURINE-S-METHYLTRANSFERASE-RXN	EC-2.1.1.67
RXN-15261	EC-3.5.4.3
RXN-12730	EC-2.1.1.14
FPPSYN-RXN	EC-2.5.1.10
RXN-22245	EC-2.3.1.191
RXN-16938	EC-3.5.1.28
ACETYLPUTRESCINE-DEACETYLASE-RXN	EC-3.5.1.62
RXN-14267	EC-3.5.1.28
RXN-22489	EC-2.3.1.243
RXN-8344	EC-2.7.7.75
ABC-19-RXN	EC-7.3.2.5
GPPSYN-RXN	EC-2.5.1.1
ADENODEAMIN-RXN	EC-3.5.4.4
RXN-22975	
GSDEADENYLATION-RXN	EC-2.7.7.89
RXN-22997	EC-1.3.8.7
ADDALT-RXN	EC-3.5.4.4
RXN0-5217	EC-2.5.1
GSADENYLATION-RXN	EC-2.7.7.42
RXN0-5225	EC-3.5.1.28
RXN-1381	EC-2.3.1.15
RXN-23525	EC-3.5.1.1
DXS-RXN	EC-2.2.1.7
D-ARABINITOL-4-DEHYDROGENASE-RXN	EC-1.1.1.11
CREATINASE-RXN	EC-3.5.3.3
SARCOSINE-DEHYDROGENASE-RXN	EC-1.5.8.3
GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
DIACYLGLYKIN-RXN	EC-2.7.1.107
3.4.24.32-RXN	EC-3.5.1.28	EC-3.4.24.32
ASPARAGHYD-RXN	EC-3.5.1.38	EC-3.5.1.1
RXN-22613	EC-3.5.1.28
RXN-12093	EC-6.3.4.20
UROGENDECARBOX-RXN	EC-4.1.1.37
RXN0-6274	EC-2.5.1.75
RXN0-6575	EC-4.3.99.3
RXN-10642	EC-4.1.1.37
DISULFOXRED-RXN	EC-1.8.4
PHOSCHOL-RXN	EC-3.1.4.4
THIOREDOXIN-RXN	
RXN0-5507	EC-4.1.2.50
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
3.1.4.11-RXN	EC-3.1.4.11
SPERMIDINESYN-RXN	EC-2.5.1.16
RXN0-5422	EC-2.4.1
4.2.1.99-RXN	EC-4.2.1.99
RXN0-5200	EC-2.6.1
RXN-9537	EC-4.2.1.59
PHOSPHOLIPASE-A1-RXN	EC-3.1.1.32
RXN-21671	EC-4.2.1.59
RXN-21661	EC-4.2.1.59
3.4.11.2-RXN	EC-3.4.11.14
RXN-14160	EC-3.1.4.46
RXN-15468	
RXN-19772	
1.18.1.2-RXN	EC-1.18.1.2
RXN-21651	EC-4.2.1.59
RXN-9520	EC-4.2.1.59
RXN-14136	EC-3.1.4.46
GLYC3PDEHYDROGBIOSYN-RXN	EC-1.1.1.94
RXN-9533	EC-4.2.1.59
TRANS-RXN0-490	
F16BDEPHOS-RXN	EC-3.1.3.11
RXN-11861	EC-1.13.11
RXN-20556	EC-3.1.4.46
RXN-21623	EC-4.2.1.59
RXN-11481	EC-4.2.1.59
RXN-20083	
RXN-21656	EC-4.2.1.59
RXN-20082	
6.3.5.7-RXN	EC-6.3.5.7
RXN-19745	EC-1.2.1.67
RXN-13640	EC-1.13.11
RXN-20081	
RXN-20080	
6.3.5.6-RXN	EC-6.3.5.6
RXN-11477	EC-4.2.1.59
FLAVONADPREDUCT-RXN	EC-1.19.1.1
RXN-20557	EC-3.1.4.46
RXN-20675	EC-4.2.1.74
RXN-9634	EC-4.2.1.59
RXN-13615	EC-1.3.8.7
2.7.7.39-RXN	EC-2.7.7.39
RXN-13616	EC-4.2.1.74
GLUTAMIDOTRANS-RXN	EC-4.3.2.10
RXN-14229	EC-1.3.8.7
RXN-17900	
RXN-23654	EC-2.7.8.34
RXN-14073	EC-3.1.4.46
RXN-10660	EC-4.2.1.59
RXN-20678	EC-4.2.1.74
RXN0-2661	EC-3.2.2.31
KDO-8PPHOSPHAT-RXN	EC-3.1.3.45
RXN-21619	EC-4.2.1.59
RXN-14278	EC-1.3.8.7
RXN2R0Y-8	
TRANS-RXN2R0Y-20	
RXN-18394	EC-1.14.11.55
GLYCPDIESTER-RXN	EC-3.1.4.46
DARAB5PISOM-RXN	EC-5.3.1.13
RXN-16631	EC-4.2.1.59
RXN0-5330	EC-1.6.5.9
RXN-16627	EC-4.2.1.59
BUTYRYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.1
RXN-21636	EC-4.2.1.59
RXN-11667	EC-4.2.1.150
RXN0-6564	EC-2.7.1
RXN-12567	EC-4.2.1.74
RXN-19312	EC-3.1.1.5
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EC-2.5.1.7
RXN-21666	EC-4.2.1.59
RXN-21069	EC-3.1.1.5
RXN-16619	EC-4.2.1.59
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
GMKALT-RXN	EC-2.7.4.13	EC-2.7.4.12
RXN-16225	EC-3.1.1.5
RXN-21615	EC-4.2.1.59
RXN-8001	EC-1.1.1.23
LYSOPHOSPHOLIPASE-RXN	EC-3.1.1.5
HISTOLDEHYD-RXN	
RXN-23610	EC-1.1.1
HISTALDEHYD-RXN	
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	EC-4.2.1.163
PHOSPHOLIPASE-A2-RXN	EC-3.1.1.4
RXN-21632	EC-4.2.1.59
RXN-10462	EC-2.3.1.15
RXN-15035	EC-3.1.1.5
4.2.1.58-RXN	EC-4.2.1.59
RXN-9241	EC-1.14.13
RXN-10656	EC-4.2.1.59
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	EC-1.14.13
RXN-9655	EC-4.2.1.59
RXN-9226	EC-1.14.13
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-4.2.1.59
RXN-9234	EC-1.14.13
RXN-16129	EC-1.1.1.330
RXN0-2144	EC-4.2.1.59
RXN-16623	EC-4.2.1.59
RXN-16659	EC-3.4.16.4
RXN-19311	EC-3.1.1.5
RXN-21646	EC-4.2.1.59
RXN-21627	EC-4.2.1.59
1.10.2.2-RXN	EC-7.1.1.8
TRANS-RXN-218	
4.2.1.59-RXN	EC-4.2.1.59
RXN-14107	EC-7.1.1.8
RXN-18603	
RXN-18584	EC-7.1.1.8
RXN0-7081	
RXN-18604	EC-7.1.1.8
RXN-18708	EC-2.8.1
RXN-16649	EC-3.4.16.4
RXN-18709	EC-2.8.1
4.2.1.61-RXN	EC-4.2.1.59
RXN-18710	
FMNREDUCT-RXN	EC-1.5.1.39
RXN-20755	
MALSYN-RXN	EC-2.3.3.9
RXN-20756	
RXN-8506	EC-1.5.1.37
RXN-20757	
RXN-22699	EC-2.8.1
RXN-15829	EC-7.1.1.8
NADPH-DEHYDROGENASE-FLAVIN-RXN	EC-1.5.1.30
RXN-15831	
KANAMYCIN-KINASE-RXN	EC-2.7.1.95
RXN-22244	EC-2.3.1.129
THIAZOLSYN2-RXN	EC-2.8.1.10
UDPNACETYLGLUCOSAMACYLTRANS-RXN	EC-2.3.1.129
RXN-23223	EC-2.3.1.129
RXN-22480	EC-2.3.1.129
RXN-20789	EC-2.3.1.129
RXN2R0Y-5	
RXN-22246	EC-2.3.1.129
RXN-15816	EC-7.1.1.8
TRANS-RXN-16	
RXN2R0Y-10	
RXN-11637	EC-2.1.1.198
RXN-12721	EC-1.8.4.9
RXN-12864	
RXN-11638	EC-2.1.1.199
LIPIDADISACCHARIDESYNTH-RXN	EC-2.4.1.182
RXN-12867	EC-1.8.1
RXN-18586	
RXN-12865	EC-1.8.1
RXN-20785	EC-2.4.1.182
PRODISULFREDUCT-A-RXN	
ACYLCOADEHYDROG-RXN	EC-1.3.8
RXN2B4Q-52	EC-2.4.1.182
2.1.1.71-RXN	EC-2.1.1.71
RXN-22237	EC-2.4.1.182
2.1.1.17-RXN	EC-2.1.1.17
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.33
RXN-22484	EC-2.4.1.182
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4
RXN4FS-2	EC-2.1.1.71
RXN2DNV-2	EC-2.4.1.182
RXN-23219	EC-2.4.1.182
DEPHOSICITDEHASE-RXN	EC-3.1.3
CARBOXYLESTERASE-RXN	EC-3.1.1.1
RXN-9531	EC-2.3.1.179	EC-2.3.1.41
RXN-8775	EC-1.2.1.26
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26
RXN-1961	EC-6.3.4.19
GLUCARDEHYDRA-RXN	EC-4.2.1.40
PEPSYNTH-RXN	EC-2.7.9.2
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
RXN-7101	
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.64
GALACTARDEHYDRA-RXN	EC-4.2.1.42
GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8
TRANS-RXN2R0Y-8	
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.8
RXN-9539	EC-2.3.1.179	EC-2.3.1.41
4.2.1.41-RXN	EC-4.2.1.41
RXN-22608	EC-6.3.2.10
SPONTPRO-RXN	
ARGINASE-RXN	EC-3.5.3.1
RXN-9223	EC-4.1.1.98
DLACTDEHYDROGNAD-RXN	EC-1.1.1.28
RXN0-2141	EC-2.3.1.179	EC-2.3.1.41
6.3.2.10-RXN	EC-6.3.2.10
RXN-9238	EC-4.1.1.98
PEPTIDYLPROLYL-ISOMERASE-RXN	EC-5.2.1.8
RXN-22251	
RXN-22252	EC-3.1.1
RXN-12626	EC-3.2.1.52
RXN-22253	EC-3.1.3
RXN-15309	EC-4.1.1.98
RXN-22262	EC-3.1.3
RXN-14936	EC-2.8.3.21
RXN-9231	EC-4.1.1.98
RXN-22591	EC-3.2.1.52
RXN-19727	EC-3.1.1.96
RXN-22273	EC-3.1.3
RXN-9535	EC-2.3.1.41	EC-2.3.1.179
GLUCOSE-1-PHOSPHAT-RXN	EC-3.1.3.10
PHOSNACMURPENTATRANS-RXN	EC-2.7.8.13
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	EC-4.1.1.98
RXN0-3601	EC-2.8.3.21
RXN-18082	EC-3.2.1.52
RXN-11347	EC-2.7.8.13
RXN-15041	EC-3.1.1.96
RXN-11479	EC-2.3.1.179	EC-2.3.1.41
RXN-21432	EC-3.2.1.52
RXN-9527	EC-2.3.1.179	EC-2.3.1.41
RXN-21612	EC-2.3.1.300
RXN-22610	EC-2.7.8.13
RXN-21639	EC-1.3.1.104	EC-1.3.1.10	EC-1.3.1.39
RXN-21638	EC-3.1.2.14
RXN0-5364	EC-1.1.3
RXN-12445	EC-1.5.1.41
3.2.1.52-RXN	EC-3.2.1.52
RXN-21640	EC-1.3.1.104	EC-1.3.1.10
RXN-21641	EC-1.3.1.104	EC-1.3.1.10
RXN-11028	EC-2.7.8.13
RXN-21642	EC-1.3.1.104	EC-1.3.1.10
RXN-19726	EC-3.1.1.96
RXN-21643	EC-1.3.1.104	EC-1.3.1.10	EC-1.3.1.39
RXN-11474	EC-2.3.1.179	EC-2.3.1.41
RXN-21644	EC-1.3.1.104	EC-1.3.1.10
RXN-22612	EC-3.2.1.52
RXN-8975	EC-2.7.8.13
GLYOXI-RXN	EC-4.4.1.5
RXN-21716	EC-3.1.2.14
RXN-19728	EC-3.1.1.96
RXN-21077	EC-4.2.99.M2
RXN-16629	EC-2.3.1.179	EC-2.3.1.41
MERCURY-II-REDUCTASE-RXN	EC-1.16.1.1
RXN-12625	EC-3.2.1.52
RXN-19729	EC-3.1.1.96
RXN-21621	EC-2.3.1.179
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
RXN-6383	EC-4.2.1.116
PROPCOASYN-RXN	EC-1.3.8.1
UDP-NACMURALA-GLU-LIG-RXN	EC-6.3.2.9
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
RXN-21617	EC-2.3.1.179
RXN-15977	EC-1.3.3.6
PYRIMSYN3-RXN	EC-2.7.4.7
RXN-10985	EC-2.3.1
RXN0-5226	EC-3.2.1.52
RXN-21634	EC-2.3.1.179
DIAMINOPIMEPIM-RXN	EC-5.1.1.7
RXN-21654	EC-2.3.1.179
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
3.4.21.88-RXN	EC-3.4.21.88
RXN-9510	EC-1.5.1.42
RXN-21625	EC-2.3.1.179
RXN-11361	EC-2.7.7.80
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
RXN-11291	EC-2.4.1.129
GLYOXIII-RXN	EC-4.2.1.130
ABC-34-RXN	EC-7.6.2.10
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
RXN-5822	EC-3.1.3.108
RXN-14712	EC-2.4.1.129
RXN0-5509	EC-3.1.26
3.4.11.1-RXN	EC-3.4.11.9
RXN-15521	EC-2.4.1.129
RXN-10654	EC-2.3.1.179	EC-2.3.1.41
RXN-18694	EC-2.8.1.12
RXN-22	EC-4.3.2.1
RXN-14992	EC-2.1.1.297
RXN-22558	EC-2.4.1.129
RXN0-1483	EC-1.16.3.1
GLUTRNAREDUCT-RXN	EC-1.2.1.70
RXN-16625	EC-2.3.1.179	EC-2.3.1.41
RXN-10658	EC-2.3.1.179	EC-2.3.1.41
RXN-9550	EC-3.1.2.14
ARGSUCCINLYA-RXN	EC-4.3.2.1
RXN-18243	EC-2.4.1.40
RXN-16650	EC-2.4.1.129
2.7.1.148-RXN	EC-2.7.1.148
RXN-12753	
RXN-8342	EC-2.8.1.12
RXN-11348	EC-2.4.1.129
RXN-11840	EC-5.4.99.26
RXN-12754	
2.4.1.40-RXN	EC-2.4.1.40
RXN-8015	EC-3.5.4.45
RXN-17809	EC-4.6.1.17
2.4.1.129-RXN	EC-2.4.1.129
RXN-18242	EC-2.4.1.40
RXN-8017	
RXN-21664	EC-2.3.1.179
PRPPSYN-RXN	EC-2.7.6.1
RXN-20457	
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
RXN-20456	
RXN-11350	EC-2.4.1.129
RXN-21669	EC-2.3.1.179
RXN0-2584	EC-3.2.2.27
RXN-21526	
OHMETHYLBILANESYN-RXN	EC-2.5.1.61
ETHAMLY-RXN	EC-4.3.1.7
RXN-22556	EC-2.4.1.129
RXN-21525	
RXN-21527	
RXN-21524	
RXN-21523	
HISTIDINE-AMMONIA-LYASE-RXN	EC-4.3.1.3
RXN-22557	EC-2.4.1.129
XANPRIBOSYLTRAN-RXN	EC-2.4.2.22
RXN-21987	EC-3.4.11.21
RXN-9523	EC-2.3.1.179	EC-2.3.1.41
PHOSICITDEHASE-RXN	EC-2.7.11.5
RXN-19004	
RXN-14270	EC-2.4.2.7
3.4.11.21-RXN	EC-3.4.11.21
RXN-21629	EC-2.3.1.179
NAD-SYNTH-GLN-RXN	EC-6.3.5.1
DAPASYN-RXN	EC-2.6.1.62
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7
RXN-21659	EC-2.3.1.179
3.4.21.102-RXN	EC-3.4.21.102
RXN-22615	EC-2.4.1.227
UROGENIIISYN-RXN	EC-4.2.1.75
NMNNUCLEOSID-RXN	EC-3.2.2.14	EC-3.2.2.6
